date,google_spend,google_impressions,google_clicks,meta_spend,meta_impressions,meta_clicks,meta_reach,meta_frequency,tiktok_spend,tiktok_impressions,tiktok_clicks,tiktok_conversion,tiktok_reach,dv360_spend,dv360_impressions,dv360_clicks,x1_impressions,x1_clicks,x1_spend,Quantity,dv_360_x1_impressions,dv_360_x1_clicks,dv_360_x1_spend,Total_Revenue,total_discount,Service Fee,competitor_trend,CCI,holidays,all_promo,seller_discount
2022-12-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,54928,15992,0,75,47.9,1,1,7490
2023-01-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,434091,217208,0,79,49.7,0,0,50140
2023-01-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,572232,271791,0,78,49.7,0,0,119890
2023-01-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,131224,9056,0,69,49.7,0,0,27580
2023-01-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,314841,355380,0,78,49.7,0,0,79950
2023-01-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,0,0,0,961447,503643,0,82,49.7,0,1,132130
2023-02-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,389928,85494,0,72,51.7,1,0,54130
2023-02-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,656748,451232,0,69,51.7,0,0,77090
2023-02-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,244092,255335,0,70,51.7,0,0,58235
2023-02-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,0,0,0,1000454,704522,0,67,51.7,0,1,178620
2023-03-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,294714,118066,0,58,52.6,0,0,46340
2023-03-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,636487,519456,0,69,52.6,0,0,113480
2023-03-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,0,0,0,855545,920673,0,76,52.6,0,0,228000
2023-03-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,486222,218004,0,77,52.6,0,0,266930
2023-04-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,0,0,0,1261552,988468,0,82,53.8,1,1,210560
2023-04-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,637505,727837,0,68,53.8,1,0,178800
2023-04-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,380858,270186,0,75,53.8,0,0,95730
2023-04-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,629267,647692,0,80,53.8,0,0,125290
2023-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,0,0,0,597241,629335,0,79,55,2,1,145730
2023-05-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,189937,82831,0,78,55,1,0,23080
2023-05-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,315567,327847,0,67,55,0,0,71220
2023-05-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,391711,362715,0,72,55,0,0,98415
2023-05-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,172603,175126,0,68,55,0,0,69230
2023-06-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,0,0,0,1259225,594654,0,80,55.7,0,1,199410
2023-06-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,288468,163046,0,72,55.7,0,0,68110
2023-06-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,291031,214192,0,71,55.7,0,0,54000
2023-06-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,191271,128153,0,69,55.7,0,0,34120
2023-07-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,1702345,1026413,0,80,56.7,0,1,240360
2023-07-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,592104,341025,0,73,56.7,0,0,91930
2023-07-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,315859,59639,0,68,56.7,0,0,37430
2023-07-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,509983,636987,0,67,56.7,1,0,114870
2023-07-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,79428,30396,0,76,56.7,0,0,21440
2023-08-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1259225,594654,0,77,55.6,0,1,99410
2023-08-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79428,79428,0,77,55.6,0,0,68110
2023-08-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315859,59639,0,72,55.6,0,0,4000
2023-08-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,10617,503,0,72,55.6,0,0,2650
2023-09-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,323,0,0,0,1972197,1207037,0,76,56.9,0,1,375330
2023-09-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,314077,253180,0,70,56.9,0,0,45070
2023-09-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,225770,80342,0,70,56.9,0,0,50290
2023-09-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,526581,328291,0,73,56.9,0,0,89590
2023-10-02,2331.241836,2638915,5207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,233447,212971,0,70,58.7,0,0,52565
2023-10-09,17116.632,19943662,36158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,405,0,0,0,2653006,1953792,0,82,58.7,0,1,540700
2023-10-16,22482.98146,23557490,49779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,242872,142956,0,69,58.7,0,0,53490
2023-10-23,22091.37032,23233344,52707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,792071,749162,0,70,58.7,0,0,231283
2023-10-30,21882.49776,21380427,48435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,337381,101091,0,69,58.7,0,0,71400
